ID,ILLUM,HUMID,CO2,SOUND,TEMP,RYTHM
0,337.9,63.29,518.13,22.38,18.59,0.0
1,342.96,63.19,488.85,37.36,20.41,0.0
2,369.86,57.39,516.86,26.45,20.89,0.0
3,304.65,67.8,517.5,32.98,22.52,0.0
4,442.25,68.21,500.91,37.28,21.88,0.0
5,736.84,66.18,540.48,24.58,22.51,0.0
6,460.0,59.88,460.3,49.72,18.76,0.0
7,394.64,64.34,519.61,35.99,19.51,0.0
8,430.41,65.21,512.5,31.24,20.32,0.0
9,432.9,63.51,412.19,38.55,20.8,0.0
10,408.16,71.85,538.17,36.91,20.73,0.0
11,392.64,74.98,454.5,24.66,21.12,0.0
12,284.79,64.23,518.91,19.08,21.03,0.0
13,444.47,68.55,461.97,21.22,23.58,0.0
14,397.99,64.42,518.99,27.85,21.56,0.0
15,359.74,73.42,464.84,26.35,19.23,0.0
16,393.78,69.13,477.95,30.23,19.65,0.0
17,477.04,67.07,415.8,24.18,19.42,0.0
18,446.17,62.14,519.08,36.81,22.01,0.0
19,334.03,73.59,567.12,32.39,18.29,0.0
20,390.99,62.29,463.81,31.64,21.92,0.0
21,379.24,70.2,466.4,31.76,18.57,0.0
22,346.23,67.93,474.49,24.74,19.98,0.0
23,385.8,66.51,513.31,31.5,19.09,0.0
24,447.93,65.34,546.72,40.63,19.49,0.0
25,303.87,65.15,404.05,42.79,17.86,0.0
26,540.21,68.05,493.24,32.5,19.77,0.0
27,291.4,65.93,425.79,36.36,22.31,0.0
28,620.03,68.95,526.59,26.17,18.71,0.0
29,539.9,71.64,385.9,27.98,20.33,0.0
30,501.58,73.71,471.35,28.08,21.27,0.0
31,408.14,64.46,528.47,34.98,18.87,0.0
32,510.28,69.13,483.31,31.45,21.64,0.0
33,420.26,62.21,542.06,31.78,18.16,0.0
34,562.05,66.58,529.8,27.36,18.32,0.0
35,460.19,76.4,508.85,23.91,18.94,0.0
36,593.98,64.49,528.8,36.1,16.84,0.0
37,487.84,64.82,489.65,25.97,21.69,0.0
38,404.1,68.71,424.02,20.83,19.49,0.0
39,560.16,59.98,350.51,35.05,23.69,0.0
40,389.87,63.12,455.93,33.71,21.15,0.0
41,296.58,65.98,515.48,30.15,20.27,0.0
42,614.66,71.6,499.02,31.81,20.51,0.0
43,460.72,65.3,437.65,40.54,19.11,0.0
44,535.67,73.66,473.12,26.63,18.52,0.0
45,452.61,63.08,485.4,38.86,18.0,0.0
46,555.29,61.89,499.86,31.96,19.98,0.0
47,317.54,69.15,465.65,41.83,17.83,0.0
48,588.07,70.26,535.14,30.66,21.44,0.0
49,470.28,66.92,459.86,26.16,23.12,0.0
50,472.96,64.18,468.82,20.55,22.58,0.0
51,392.06,65.71,480.77,28.71,22.2,0.0
52,427.03,69.68,484.94,29.08,22.29,0.0
53,384.21,73.73,455.08,32.39,19.91,0.0
54,391.89,68.5,530.84,33.31,20.41,0.0
55,456.09,70.77,512.59,33.38,18.13,0.0
56,437.62,67.61,474.2,25.86,18.57,0.0
57,466.98,65.76,534.49,38.83,18.21,0.0
58,485.25,67.79,516.33,28.68,20.34,0.0
59,537.59,65.44,475.0,31.49,19.03,0.0
60,444.27,62.92,499.52,36.85,20.55,0.0
61,330.22,66.92,582.33,25.31,21.83,0.0
62,420.54,65.19,364.76,26.38,19.98,0.0
63,540.08,68.4,571.02,31.89,20.45,0.0
64,595.71,69.46,465.41,45.9,19.55,0.0
